Idx,Type,Region,Name,Longitude,Latitude,Connections,MAC,IP,PMU_IDX
AESO,Region,AESO,AESO,53.93,-116.57,None,None,None,None
BCTC,Region,BCTC,BCTC,57.72,-127.64,None,None,None,None

S_AESO,Switch,AESO,AESO,53.93,-116.57,None,7a:43:4f:ca:0d:23,None,None
S_BCTC,Switch,BCTC,BCTC,57.72,-127.64,S_AESO,92:53:a7:1e:98:55,None,None

C_AESO,PDC,AESO,AESO,53.93,-116.57,S_AESO,None,192.168.1.2,None
C_BCTC,PDC,BCTC,BCTC,57.72,-127.64,S_BCTC,None,192.168.1.3,None

DEVERS1,PMU,AESO,DEVERS1,33.937268,-116.577985,S_AESO,None,192.168.1.17,1
DEVERS2,PMU,AESO,DEVERS2,33.937268,-116.577985,S_AESO,None,192.168.1.18,2
DEVERS3,PMU,AESO,DEVERS3,33.937268,-116.577985,S_AESO,None,192.168.1.19,3
DEVERS4,PMU,AESO,DEVERS4,33.937268,-116.577985,S_AESO,None,192.168.1.20,4
DEVERS5,PMU,AESO,DEVERS5,33.937268,-116.577985,S_AESO,None,192.168.1.21,5
DEVERS6,PMU,AESO,DEVERS6,33.937268,-116.577985,S_AESO,None,192.168.1.22,6
DEVERS7,PMU,AESO,DEVERS7,33.937268,-116.577985,S_AESO,None,192.168.1.23,7
DEVERS8,PMU,AESO,DEVERS8,33.937268,-116.577985,S_AESO,None,192.168.1.24,8
DEVERS9,PMU,AESO,DEVERS9,33.937268,-116.577985,S_AESO,None,192.168.1.25,9

INTF1,HwIntf,AESO,enp4s0f0,53.92,-116.55,S_BCTC,None,None
